Epoch53:TrainAccuracy=0.86287,TrainLoss=0.53072,ValidationAccuracy=0.71827,ValidationLoss=1.42337,lr=0.0010000000000000002(timeelapsed00:14:18)
Epoch54:TrainAccuracy=0.86586,TrainLoss=0.51353,ValidationAccuracy=0.72158,ValidationLoss=1.43316,lr=0.0010000000000000002(timeelapsed00:14:31)
Epoch55:TrainAccuracy=0.86476,TrainLoss=0.52111,ValidationAccuracy=0.71680,ValidationLoss=1.46434,lr=0.0010000000000000002(timeelapsed00:14:21)
Epoch56:TrainAccuracy=0.86593,TrainLoss=0.52124,ValidationAccuracy=0.71064,ValidationLoss=1.46506,lr=0.0010000000000000002(timeelapsed00:14:27)
Epoch57:TrainAccuracy=0.86699,TrainLoss=0.51839,ValidationAccuracy=0.71636,ValidationLoss=1.45428,lr=0.0010000000000000002(timeelapsed00:14:45)
Epoch58:TrainAccuracy=0.86659,TrainLoss=0.51415,ValidationAccuracy=0.71722,ValidationLoss=1.46607,lr=0.0010000000000000002(timeelapsed00:14:50)
Epoch59:TrainAccuracy=0.86732,TrainLoss=0.50755,ValidationAccuracy=0.72016,ValidationLoss=1.42588,lr=0.0010000000000000002(timeelapsed00:14:51)
Epoch60:TrainAccuracy=0.86750,TrainLoss=0.51914,ValidationAccuracy=0.72124,ValidationLoss=1.38803,lr=0.0010000000000000002(timeelapsed00:14:42)
Epoch61:TrainAccuracy=0.86614,TrainLoss=0.50818,ValidationAccuracy=0.71414,ValidationLoss=1.45462,lr=0.0010000000000000002(timeelapsed00:14:51)
Epoch62:TrainAccuracy=0.86272,TrainLoss=0.52898,ValidationAccuracy=0.71750,ValidationLoss=1.41650,lr=0.0010000000000000002(timeelapsed00:15:03)
Epoch63:TrainAccuracy=0.86440,TrainLoss=0.52290,ValidationAccuracy=0.71975,ValidationLoss=1.42342,lr=0.0010000000000000002(timeelapsed00:14:53)
Epoch64:TrainAccuracy=0.86929,TrainLoss=0.50831,ValidationAccuracy=0.71813,ValidationLoss=1.47273,lr=0.0010000000000000002(timeelapsed00:14:47)
Epoch65:TrainAccuracy=0.86688,TrainLoss=0.51802,ValidationAccuracy=0.71597,ValidationLoss=1.42086,lr=0.0010000000000000002(timeelapsed00:14:48)
Epoch66:TrainAccuracy=0.86686,TrainLoss=0.51399,ValidationAccuracy=0.72311,ValidationLoss=1.39219,lr=0.0010000000000000002(timeelapsed00:14:45)
Epoch67:TrainAccuracy=0.86832,TrainLoss=0.50791,ValidationAccuracy=0.71860,ValidationLoss=1.44607,lr=0.0010000000000000002(timeelapsed00:14:47)
Epoch68:TrainAccuracy=0.86697,TrainLoss=0.50893,ValidationAccuracy=0.71569,ValidationLoss=1.45532,lr=0.0010000000000000002(timeelapsed00:14:25)
Epoch69:TrainAccuracy=0.86841,TrainLoss=0.51115,ValidationAccuracy=0.71781,ValidationLoss=1.39731,lr=0.0010000000000000002(timeelapsed00:14:19)
Epoch70:TrainAccuracy=0.87220,TrainLoss=0.49919,ValidationAccuracy=0.71685,ValidationLoss=1.45052,lr=0.0010000000000000002(timeelapsed00:14:19)
Epoch71:TrainAccuracy=0.87132,TrainLoss=0.49662,ValidationAccuracy=0.72189,ValidationLoss=1.43760,lr=0.0010000000000000002(timeelapsed00:14:22)
Epoch72:TrainAccuracy=0.87405,TrainLoss=0.49395,ValidationAccuracy=0.71344,ValidationLoss=1.51905,lr=0.0010000000000000002(timeelapsed00:14:22)
Epoch73:TrainAccuracy=0.86907,TrainLoss=0.50752,ValidationAccuracy=0.71809,ValidationLoss=1.42818,lr=0.0010000000000000002(timeelapsed00:14:36)
Epoch74:TrainAccuracy=0.86890,TrainLoss=0.50789,ValidationAccuracy=0.71590,ValidationLoss=1.42074,lr=0.0010000000000000002(timeelapsed00:14:23)
Epoch75:TrainAccuracy=0.87254,TrainLoss=0.49414,ValidationAccuracy=0.72032,ValidationLoss=1.45492,lr=0.00010000000000000003(timeelapsed00:14:19)
Epoch76:TrainAccuracy=0.86886,TrainLoss=0.50074,ValidationAccuracy=0.72099,ValidationLoss=1.41514,lr=0.00010000000000000003(timeelapsed00:14:19)
Epoch77:TrainAccuracy=0.86990,TrainLoss=0.49914,ValidationAccuracy=0.71604,ValidationLoss=1.46646,lr=0.00010000000000000003(timeelapsed00:14:19)
Epoch78:TrainAccuracy=0.86855,TrainLoss=0.50079,ValidationAccuracy=0.72016,ValidationLoss=1.41820,lr=0.00010000000000000003(timeelapsed00:14:24)
Epoch79:TrainAccuracy=0.87307,TrainLoss=0.49483,ValidationAccuracy=0.71761,ValidationLoss=1.50218,lr=0.00010000000000000003(timeelapsed00:14:23)
Epoch80:TrainAccuracy=0.87215,TrainLoss=0.49002,ValidationAccuracy=0.71824,ValidationLoss=1.47229,lr=0.00010000000000000003(timeelapsed00:14:21)
Epoch81:TrainAccuracy=0.86732,TrainLoss=0.50888,ValidationAccuracy=0.72115,ValidationLoss=1.41977,lr=0.00010000000000000003(timeelapsed00:14:17)
Epoch82:TrainAccuracy=0.87152,TrainLoss=0.49322,ValidationAccuracy=0.71566,ValidationLoss=1.44773,lr=0.00010000000000000003(timeelapsed00:14:17)
Epoch83:TrainAccuracy=0.87381,TrainLoss=0.48977,ValidationAccuracy=0.71477,ValidationLoss=1.45330,lr=0.00010000000000000003(timeelapsed00:14:22)
Epoch84:TrainAccuracy=0.86949,TrainLoss=0.50549,ValidationAccuracy=0.71684,ValidationLoss=1.48429,lr=0.00010000000000000003(timeelapsed00:14:23)
Epoch85:TrainAccuracy=0.87158,TrainLoss=0.49600,ValidationAccuracy=0.71988,ValidationLoss=1.47131,lr=0.00010000000000000003(timeelapsed00:14:21)
Epoch86:TrainAccuracy=0.87023,TrainLoss=0.49382,ValidationAccuracy=0.72257,ValidationLoss=1.43226,lr=0.00010000000000000003(timeelapsed00:14:21)
Epoch87:TrainAccuracy=0.87011,TrainLoss=0.50592,ValidationAccuracy=0.71480,ValidationLoss=1.44528,lr=0.00010000000000000003(timeelapsed00:14:19)
Epoch88:TrainAccuracy=0.87467,TrainLoss=0.49144,ValidationAccuracy=0.71694,ValidationLoss=1.47251,lr=0.00010000000000000003(timeelapsed00:14:23)
Epoch89:TrainAccuracy=0.87462,TrainLoss=0.48655,ValidationAccuracy=0.72295,ValidationLoss=1.46583,lr=0.00010000000000000003(timeelapsed00:14:23)
Epoch90:TrainAccuracy=0.87034,TrainLoss=0.50349,ValidationAccuracy=0.71660,ValidationLoss=1.47362,lr=0.00010000000000000003(timeelapsed00:14:22)
Epoch91:TrainAccuracy=0.87274,TrainLoss=0.49818,ValidationAccuracy=0.71566,ValidationLoss=1.45528,lr=0.00010000000000000003(timeelapsed00:14:21)
Epoch92:TrainAccuracy=0.86191,TrainLoss=0.52684,ValidationAccuracy=0.72139,ValidationLoss=1.42287,lr=0.00010000000000000003(timeelapsed00:14:18)
Epoch93:TrainAccuracy=0.87115,TrainLoss=0.49818,ValidationAccuracy=0.71833,ValidationLoss=1.45582,lr=0.00010000000000000003(timeelapsed00:14:23)
Epoch94:TrainAccuracy=0.87095,TrainLoss=0.50611,ValidationAccuracy=0.71638,ValidationLoss=1.43349,lr=0.00010000000000000003(timeelapsed00:14:25)
Epoch95:TrainAccuracy=0.87121,TrainLoss=0.50472,ValidationAccuracy=0.71912,ValidationLoss=1.46914,lr=0.00010000000000000003(timeelapsed00:14:20)
Epoch96:TrainAccuracy=0.87300,TrainLoss=0.48997,ValidationAccuracy=0.71835,ValidationLoss=1.45431,lr=0.00010000000000000003(timeelapsed00:14:22)
Epoch97:TrainAccuracy=0.86554,TrainLoss=0.51816,ValidationAccuracy=0.71664,ValidationLoss=1.48535,lr=0.00010000000000000003(timeelapsed00:14:17)
Epoch98:TrainAccuracy=0.87033,TrainLoss=0.50054,ValidationAccuracy=0.72552,ValidationLoss=1.38966,lr=0.00010000000000000003(timeelapsed00:14:17)
99:TrainAccuracy=0.87250,TrainLoss=0.49117,ValidationAccuracy=0.72211,ValidationLoss=1.43670,lr=0.00010000000000000003(timeelapsed00:14:19)
TrainAccuracy=0.86783,TrainLoss=0.51079,ValidationAccuracy=0.71427,ValidationLoss=1.44670,lr=1.0000000000000003e-05(timeelapsed00:14:24)
TrainAccuracy=0.86915,TrainLoss=0.50448,ValidationAccuracy=0.72351,ValidationLoss=1.45243,lr=1.0000000000000003e-05(timeelapsed00:14:18)
TrainAccuracy=0.86994,TrainLoss=0.50170,ValidationAccuracy=0.71878,ValidationLoss=1.43424,lr=1.0000000000000003e-05(timeelapsed00:14:21)
TrainAccuracy=0.87324,TrainLoss=0.48903,ValidationAccuracy=0.71686,ValidationLoss=1.47087,lr=1.0000000000000003e-05(timeelapsed00:14:22)
TrainAccuracy=0.86975,TrainLoss=0.50167,ValidationAccuracy=0.72321,ValidationLoss=1.43327,lr=1.0000000000000003e-05(timeelapsed00:14:17)
TrainAccuracy=0.87132,TrainLoss=0.49494,ValidationAccuracy=0.71750,ValidationLoss=1.47145,lr=1.0000000000000003e-05(timeelapsed00:14:28)
TrainAccuracy=0.87157,TrainLoss=0.49620,ValidationAccuracy=0.71518,ValidationLoss=1.45050,lr=1.0000000000000003e-05(timeelapsed00:14:10)
TrainAccuracy=0.87082,TrainLoss=0.49947,ValidationAccuracy=0.71743,ValidationLoss=1.43782,lr=1.0000000000000003e-05(timeelapsed00:09:42)
TrainAccuracy=0.87103,TrainLoss=0.49685,ValidationAccuracy=0.71681,ValidationLoss=1.46193,lr=1.0000000000000003e-05(timeelapsed00:09:38)
TrainAccuracy=0.87083,TrainLoss=0.49957,ValidationAccuracy=0.71870,ValidationLoss=1.45533,lr=1.0000000000000003e-05(timeelapsed00:09:37)
TrainAccuracy=0.86834,TrainLoss=0.50514,ValidationAccuracy=0.72056,ValidationLoss=1.42550,lr=1.0000000000000003e-05(timeelapsed00:09:38)
TrainAccuracy=0.87068,TrainLoss=0.49460,ValidationAccuracy=0.72198,ValidationLoss=1.42773,lr=1.0000000000000003e-05(timeelapsed00:09:37)
TrainAccuracy=0.86948,TrainLoss=0.49744,ValidationAccuracy=0.72389,ValidationLoss=1.43961,lr=1.0000000000000003e-05(timeelapsed00:09:38)
TrainAccuracy=0.87271,TrainLoss=0.49390,ValidationAccuracy=0.72118,ValidationLoss=1.44220,lr=1.0000000000000003e-05(timeelapsed00:09:37)
TrainAccuracy=0.87163,TrainLoss=0.49998,ValidationAccuracy=0.71833,ValidationLoss=1.44122,lr=1.0000000000000003e-05(timeelapsed00:09:37)
TrainAccuracy=0.86716,TrainLoss=0.50963,ValidationAccuracy=0.72005,ValidationLoss=1.43525,lr=1.0000000000000003e-05(timeelapsed00:09:38)
TrainAccuracy=0.86962,TrainLoss=0.50329,ValidationAccuracy=0.72144,ValidationLoss=1.43492,lr=1.0000000000000003e-05(timeelapsed00:10:21)
TrainAccuracy=0.87030,TrainLoss=0.50240,ValidationAccuracy=0.72147,ValidationLoss=1.42332,lr=1.0000000000000003e-05(timeelapsed00:11:15)
TrainAccuracy=0.86877,TrainLoss=0.50962,ValidationAccuracy=0.71487,ValidationLoss=1.45572,lr=1.0000000000000003e-05(timeelapsed00:11:45)
